2020-02-28 17:50:00,b'RT @TheBarbNation: Google is free https://t.co/sHSVi5TyNw'
2020-02-28 17:49:59,b'RT @Tempus_Fugit0: If I Could Pray from @MonksRoadRecord featuring #PeterCapaldi is out today! Go buy it\n\nhttps://t.co/Pcq11Lo1oG\n\nhttps://\xe2\x80\xa6'
2020-02-28 17:49:58,b'@leadWithGUTS @Mz_Leadership @Chris_Kolenda @KoberStratLead Harvard and Google both determine that compared with pe\xe2\x80\xa6 https://t.co/qKDaw2vDwO'
2020-02-28 17:49:56,"b""RT @Nmozz: Constantly having to explain why something is racist has a 'significant impact' on mental health:\n\n'In a world where Google exis\xe2\x80\xa6"""
2020-02-28 17:49:56,b'RT @janicewu_: [usa go] please rt!\n\n2020 taehyung valentine\xe2\x80\x99s day kit by @Oracle_V1230 \n\nprice: varies\n\ncloses: february 28th\n\nform: https:\xe2\x80\xa6'
2020-02-28 17:49:56,b'RT @JanvierPopote: A North Korean official shot dead after he broke the terms of his coronavirus quarantine.\n\nPresident Kim Jong-un reporte\xe2\x80\xa6'
2020-02-28 17:49:56,b'@TheoPaphitis what an awesome today! From mental health awareness to Google and then your inspirational fireside ch\xe2\x80\xa6 https://t.co/WWbKVnZjCx'
2020-02-28 17:49:55,"b""RT @kimparkdaily: Let's channel our anger. \n\n+ Continue to stream ON MV on YT (We goin'100 million) \n+ Stream ON on Spotify\n+ Buy ON on iTu\xe2\x80\xa6"""
2020-02-28 17:49:55,b'Here is the episode podcast.  https://t.co/LbTAQP5pDN'
2020-02-28 17:49:55,"b'RT @GOPLeader: In the 2018 election, Google classified Republicans as Nazis.\n \nGoogle amounts for 90% of all searches. We cannot allow big\xe2\x80\xa6'"
2020-02-28 17:49:54,b'@TrumpCanuck @bbl58 @Michaelcraddo16 @GregoryJHall1 @45HarisonHarold @robin_ked @DRottiemom @Jingoman111 @mbees39\xe2\x80\xa6 https://t.co/FQqjmgm3Vk'
2020-02-28 17:49:53,"b'RT @MsIsmailaj: \xe2\x9c\x85 SCHOLARSHIP ALERT: Check this one out, yall! Find it here to apply: https://t.co/SGoZts6Rjp https://t.co/Taz1StN7ZX'"
2020-02-28 17:49:52,b'RT @IMJOONSCRAB: Army! As you might know Ytb did delete some of our views! Instead of tagging them on twt and trending a hstg i made a temp\xe2\x80\xa6'
2020-02-28 17:49:52,b'RT @TenilleArts: Made a #TA2 scrapbook with handwritten lyrics of every song! \xf0\x9f\x92\x9e Enter to make it yours now: https://t.co/a4FQzaO15z \xf0\x9f\x93\x9d https\xe2\x80\xa6'
2020-02-28 17:49:49,b'RT @IMJOONSCRAB: Army! As you might know Ytb did delete some of our views! Instead of tagging them on twt and trending a hstg i made a temp\xe2\x80\xa6'
2020-02-28 17:49:49,"b'RT @openminedorg: #GSoC 15,000+ students; 109 countries; 36,000,000+ lines of code; \n\nOpenMined has been accepted to Google Summer of Code!\xe2\x80\xa6'"
2020-02-28 17:49:49,b'me as a google employee interviewing a new engineering candidate: how many pieces of salt does salt bae drop per meat sprinkle?'
2020-02-28 17:49:48,b'RT @little_dipperPH: [PH GO] \xf0\x9f\x8d\x8a\xf0\x9d\x95\x86\xf0\x9d\x95\xa3\xf0\x9d\x95\x92\xf0\x9d\x95\x9f\xf0\x9d\x95\x98\xf0\x9d\x95\x96 \xf0\x9d\x95\x8a\xf0\x9d\x95\xa0\xf0\x9d\x95\x95\xf0\x9d\x95\x92.\xf0\x9f\x8d\x8a 2020 \xe1\xb4\x84\xca\x9c\xe1\xb4\x87\xe1\xb4\x87\xca\x80\xc9\xaa\xc9\xb4\xc9\xa2 \xe1\xb4\x8b\xc9\xaa\xe1\xb4\x9b \xd2\x93\xca\x80\xe1\xb4\x8f\xe1\xb4\x8d \xe1\xb4\xa0\xe1\xb4\x8f\xca\x9f.95 by @visionoflove_95 #BTS #TAEHYUNG #V \n\xf0\x9f\x92\xb8Php 1150\n+ ISF and LSF\xe2\x80\xa6'
2020-02-28 17:49:48,"b""I still don't like the new google format. That poppin up on the right, but then you click that to get some other st\xe2\x80\xa6 https://t.co/ZtaN6adEfp"""
2020-02-28 17:49:47,"b'RT @MrLoveMobile: \xe2\x98\x80\xef\xb8\x8fKiro Sunlit Wallpaper\xe2\x98\x80\xef\xb8\x8f\n\n\xe2\x80\x9cMy time with you--\n--has gotta pass slower, slower, and slower still.\xe2\x80\x9d\n\nHD version for mobile\xe2\x80\xa6'"
2020-02-28 17:49:47,b'google is froggy chair in pocket camp.'
2020-02-28 17:49:47,b'RT @mintyoongixo: hello rosebowlians! i\xe2\x80\x99ll be making freebies for Day 1 and Day 2 of Rose Bowl!! i\xe2\x80\x99ll b giving away 100 handmade keychains\xe2\x80\xa6'
2020-02-28 17:49:46,b'RT @electricians: United Electrical\xc2\xae on #Google https://t.co/NnvkPvbXIO'
2020-02-28 17:49:46,b'RT @CallieBurrito: @ibrahim_hazum @TheStagmania https://t.co/c95jOORm9A holy fudge'
2020-02-28 17:49:45,b'RT @IMJOONSCRAB: Army! As you might know Ytb did delete some of our views! Instead of tagging them on twt and trending a hstg i made a temp\xe2\x80\xa6'
2020-02-28 17:49:45,b'ICYMI: Volunteer opportunity Saturday March 28th at @thisisUIC !! Many roles available; Support girls in STEM today\xe2\x80\xa6 https://t.co/NoUwKMOv8l'
